age,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_pct,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,g,gs,lg_id,mp,name,off_rtg,orb_per_poss,pf_per_poss,pid,pos,pts_per_poss,season,stl_per_poss,team_id,tov_per_poss,trb_per_poss
19,3.5,1.3,110,5.0,.455,9.5,20.9,.288,1.1,3.7,.430,10.6,24.6,.873,7.0,8.1,80,80,NBA,2768,Kevin Durant,100,1.3,2.2,0,SG,29.2,2007-08,1.4,SEA,4.2,6.3
20,3.6,0.9,109,7.2,.486,10.0,20.6,.422,1.7,4.1,.476,11.7,24.7,.863,8.0,9.3,74,74,NBA,2885,Kevin Durant,111,1.4,2.4,0,SF,33.3,2008-09,1.7,OKC,4.0,8.6
21,3.7,1.3,104,8.2,.506,10.6,21.0,.365,2.0,5.6,.476,12.6,26.6,.900,12.0,13.4,82,82,NBA,3239,Kevin Durant,118,1.7,2.7,0,SF,39.4,2009-10,1.8,OKC,4.3,9.9
22,3.6,1.3,107,8.1,.504,9.6,19.2,.350,2.5,7.1,.462,12.1,26.2,.880,10.1,11.5,78,78,NBA,3038,Kevin Durant,115,1.0,2.7,0,SF,36.8,2010-11,1.5,OKC,3.7,9.1
23,4.7,1.6,101,9.9,.535,10.3,19.3,.387,2.7,7.0,.496,13.0,26.3,.860,8.7,10.2,66,66,NBA,2546,Kevin Durant,114,0.8,2.7,0,SF,37.5,2011-12,1.8,OKC,5.0,10.7
24,6.2,1.7,100,9.8,.539,9.8,18.1,.416,2.3,5.5,.510,12.1,23.6,.905,11.2,12.4,81,81,NBA,3119,Kevin Durant,122,0.8,2.4,0,SF,37.6,2012-13,1.9,OKC,4.6,10.6
25,7.2,1.0,104,8.7,.549,10.6,19.3,.391,3.1,7.9,.503,13.7,27.2,.873,11.3,13.0,81,81,NBA,3122,Kevin Durant,123,0.9,2.8,0,SF,41.8,2013-14,1.7,OKC,4.6,9.6
26,6.0,1.4,105,8.9,.565,9.6,16.9,.403,3.5,8.7,.510,13.1,25.6,.854,8.0,9.4,27,27,NBA,913,Kevin Durant,121,0.9,2.2,0,SF,37.7,2014-15,1.3,OKC,4.1,9.8
27,7.0,1.6,104,10.5,.569,9.9,17.3,.387,3.6,9.3,.505,13.4,26.6,.898,8.6,9.6,72,72,NBA,2578,Kevin Durant,122,0.9,2.6,0,SF,39.1,2015-16,1.3,OKC,4.8,11.3
28,7.0,2.3,101,11.0,.608,10.1,16.6,.375,2.7,7.3,.537,12.8,23.8,.875,7.8,8.9,62,62,NBA,2070,Kevin Durant,125,0.9,2.7,0,PF,36.1,2016-17,1.5,GSW,3.2,11.9
29,7.6,2.5,107,9.0,.565,9.5,16.8,.419,3.6,8.6,.516,13.1,25.3,.889,7.4,8.4,68,68,NBA,2325,Kevin Durant,119,0.6,2.8,0,PF,37.1,2017-18,1.0,GSW,4.3,9.6
