age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,season,team_id
19,12.8,92,.455,.555,.850,0,.288,.932,.375,1,.150,.430,.607,.376,.341,.415,80,NBA,2768,Kevin Durant,.070,.078,.259,.121,.152,.318,0,SG,2007-08,SEA
20,12.9,114,.486,.502,.835,0,.422,.948,.368,0,.165,.476,.677,.397,.405,.398,74,NBA,2885,Kevin Durant,.086,.083,.260,.098,.178,.299,0,SF,2008-09,OKC
21,13.2,133,.506,.471,.790,0,.365,.773,.235,1,.210,.476,.703,.444,.445,.380,82,NBA,3239,Kevin Durant,.082,.048,.245,.107,.203,.235,0,SF,2009-10,OKC
22,15.5,125,.504,.565,.731,0,.350,.855,.385,0,.269,.462,.795,.414,.439,.413,78,NBA,3038,Kevin Durant,.083,.063,.162,.113,.160,.296,0,SF,2010-11,OKC
23,13.8,102,.535,.396,.735,0,.387,.805,.500,1,.265,.496,.739,.448,.424,.483,66,NBA,2546,Kevin Durant,.082,.047,.213,.157,.184,.182,0,SF,2011-12,OKC
24,13.3,115,.539,.449,.767,0,.416,.799,.400,0,.233,.510,.737,.471,.475,.432,81,NBA,3119,Kevin Durant,.083,.060,.220,.166,.195,.186,0,SF,2012-13,OKC
25,13.8,146,.549,.447,.709,0,.391,.557,.423,1,.291,.503,.798,.417,.441,.445,81,NBA,3122,Kevin Durant,.088,.053,.223,.150,.191,.145,0,SF,2013-14,OKC
26,14.9,37,.565,.511,.660,0,.403,.656,.533,0,.340,.510,.802,.412,.535,.400,27,NBA,913,Kevin Durant,.079,.094,.206,.109,.184,.161,0,SF,2014-15,OKC
27,14.6,106,.569,.518,.652,0,.387,.640,.389,0,.348,.505,.737,.437,.542,.455,72,NBA,2578,Kevin Durant,.081,.037,.212,.098,.182,.161,0,SF,2015-16,OKC
28,13.8,107,.608,.565,.696,0,.375,.803,.436,2,.304,.537,.796,.487,.430,.558,62,NBA,2070,Kevin Durant,.107,.125,.267,.116,.161,.152,0,PF,2016-17,GSW
29,15.4,94,.565,.488,.662,0,.419,.688,.564,3,.338,.516,.758,.513,.492,.487,68,NBA,2325,Kevin Durant,.084,.094,.179,.096,.201,.185,0,PF,2017-18,GSW
